,index,Area,Circ.,%Area,AR,Round,MinFeret,Area_std,Circ._std,%Area_std,AR_std,Round_std,MinFeret_std,Sample,Temperature_x,Denier,Flowrate,Spinning Speed,Name,n,95confidence,Unnamed: 1,Filename,SName,Zero Shear viscosity,Relaxation Time,Temperature_y,Gc,Gpps,Gps,SampleName,Ident,Polydispersity Index,Hollow
0,0,117.76821176470607,0.8767205882352942,80.28505882352945,1.1214147058823534,0.8964764705882359,11.660858823529406,15.920437377512796,0.03712906834903238,2.265380984598207,0.09400035345553626,0.05920144131837648,0.9074452244998806,3155,210,0.75,0.17,1958.0,3155-210,340,0.2408007657200579,,,3155,373.0,0.00196,210,,,,,,,19.714941176470546
1,0,253.46589171974512,0.8776560509554145,78.91846496815288,1.071968152866242,0.9364458598726109,17.13682165605096,103.9064451270629,0.04726232214525108,3.4841535291186623,0.08098515378206482,0.05025312784045853,3.461568100092686,3155,210,1.5,0.33,1798.0,3155-210,157,0.545008818071992,,,3155,373.0,0.00196,210,,,,,,,21.081535031847125
2,0,221.697445054945,0.8765659340659342,80.82025274725275,1.0901428571428573,0.9219780219780224,16.095593406593405,49.43746326605004,0.0297338756889737,3.095848366286148,0.09977871332995125,0.05408137474591743,1.9519042323103313,3155,210,1.75,0.17,1007.0,3155-210,182,0.4497799152552147,,,3155,373.0,0.00196,210,,,,,,,19.179747252747248
3,0,315.70623308270683,0.8803383458646621,83.56877443609028,1.0656315789473687,0.9393458646616542,19.37787218045112,53.37345408759598,0.021814259729501212,1.4478860223042278,0.03507923362302757,0.02933351716009425,1.6981784956933592,3155,210,2.5,0.17,764.0,3155-210,133,0.2460733753162252,,,3155,373.0,0.00196,210,,,,,,,16.43122556390972
4,0,322.6505409836065,0.8622540983606559,78.66008196721309,1.1031065573770489,0.910106557377049,19.23406557377049,80.57837235577904,0.046580342300693224,3.4369032659272736,0.07347994693297988,0.0540594725114451,2.7311843274256105,3155,210,2.5,0.33,1366.0,3155-210,122,0.6098786984631205,,,3155,373.0,0.00196,210,,,,,,,21.339918032786912
5,0,324.2456950354611,0.8845815602836882,78.205219858156,1.0544184397163119,0.9493333333333331,19.597687943262397,85.54321737485704,0.021224701252606882,1.7626929036975485,0.03479678885602785,0.03006770138648224,2.676720928766474,3155,210,2.5,0.41,1703.0,3155-210,141,0.29095322215944536,,,3155,373.0,0.00196,210,,,,,,,21.794780141844
6,0,464.4604631578949,0.87541052631579,78.89758947368418,1.063705263157895,0.941378947368421,23.507863157894736,81.25082007190863,0.027081631812631575,1.991533101816964,0.041381688232123286,0.035098699420460545,2.172619468157149,3155,210,3.5,0.17,503.0,3155-210,95,0.40048089058534003,,,3155,373.0,0.00196,210,,,,,,,21.102410526315822
7,0,431.2330454545454,0.8913522727272731,80.35494318181817,1.0439318181818185,0.9583863636363635,22.412613636363638,175.95115087784816,0.011744443315812304,2.75323421668172,0.021679905126900132,0.01959910379031371,4.593341128478325,3155,210,3.5,0.33,976.0,3155-210,88,0.5752516771454942,,,3155,373.0,0.00196,210,,,,,,,19.64505681818183
8,0,441.325188888889,0.8619888888888888,78.76097777777781,1.068577777777778,0.9390111111111109,22.585366666666662,166.81700926759953,0.0551782595284978,2.1031163553153704,0.06740269353764611,0.05078385447320884,4.4716160702564,3155,210,3.5,0.41,1216.0,3155-210,90,0.4345083406537046,,,3155,373.0,0.00196,210,,,,,,,21.23902222222219
9,0,109.20884858044164,0.8573627760252363,87.02554889589895,1.111567823343848,0.9032145110410099,11.280517350157726,22.64580542535582,0.04673976164735522,2.300037366573264,0.07271414884600567,0.05496781029393623,1.2598808778763668,3155,230,0.9,0.17,1918.0,3155-230,317,0.2531986185838743,8.0,PP3155_230_1-17-22_S1_p2,3155,159.923,0.000764,230,0.02898,0.90979,1.55361,3155,3155-230,3.45021,12.97445110410105
10,0,203.6571809045226,0.8783015075376883,88.06903015075378,1.0467236180904522,0.9560854271356781,15.669286432160797,45.54058321900046,0.03741899733226715,1.115923388583352,0.02882477531034359,0.02547959648550401,1.7264740220621306,3155,230,1.75,0.17,986.0,3155-230,199,0.15504719481360657,8.0,PP3155_230_1-17-22_S1_p2,3155,159.923,0.000764,230,0.02898,0.90979,1.55361,3155,3155-230,3.45021,11.930969849246225
11,0,233.61910714285705,0.8661224489795921,80.06884183673469,1.070295918367347,0.9361836734693877,16.65894387755102,33.94256837499227,0.031714355014279313,2.146856191781236,0.049112577987600846,0.0407635701963698,1.311912728458158,3155,230,1.9,0.33,1802.0,3155-230,196,0.300559866849373,8.0,PP3155_230_1-17-22_S1_p2,3155,159.923,0.000764,230,0.02898,0.90979,1.55361,3155,3155-230,3.45021,19.93115816326531
12,0,283.9732100840336,0.7959411764705882,86.2129411764706,1.1471764705882357,0.8772941176470587,17.91779831932774,71.267059494418,0.09920927154916544,2.653691021743743,0.10004436702722629,0.06606395885821513,2.7602778157274592,3155,230,2.5,0.17,690.0,3155-230,119,0.47679637595711055,8.0,PP3155_230_1-17-22_S1_p2,3155,159.923,0.000764,230,0.02898,0.90979,1.55361,3155,3155-230,3.45021,13.787058823529406
13,0,303.3280217391306,0.8640652173913042,82.88035507246377,1.0707101449275362,0.9361014492753622,19.044478260869564,34.57125667297081,0.04500595362428429,1.8450890501355985,0.05720959070463607,0.042386523449641896,1.2074786133566682,3155,230,2.5,0.33,1369.0,3155-230,138,0.3078462443368393,8.0,PP3155_230_1-17-22_S1_p2,3155,159.923,0.000764,230,0.02898,0.90979,1.55361,3155,3155-230,3.45021,17.11964492753623
